Date/Time	08.06.15	11	54	5	Sample	1045_Steel	10.1	mm
Operator	MRS	Reference	-----	0	mm			
Laboratory	NIST	Atmosphere	He	20	l/h			
Comment	Run	to	-10C	Zero	Piston	None		
	1.021	33.1	0.1727	35.7	2.7588			
	1.031	33.1	0.206	35.8	2.832			
	1.041	33.2	0.1881	35.8	2.7618			
	1.051	33.2	0.2503	35.9	2.8137			
	1.061	33.3	0.2611	35.9	2.7435			
	1.071	33.3	0.2378	36	2.8137			
	1.081	33.4	0.2654	36	2.7435			
	1.091	33.4	0.319	36.1	2.8076			
	1.101	33.4	0.2221	36.1	2.8076			
	1.111	33.5	0.3093	36.2	2.7954			
	1.121	33.5	0.3279	36.2	2.7954			
	1.131	33.6	0.2693	36.3	2.7893			
	1.141	33.6	0.3426	36.3	2.829			
	1.151	33.7	0.2292	36.4	2.8229			
	1.161	33.7	0.2511	36.4	2.8229			
	1.171	33.7	0.2865	36.5	2.8809			
	1.181	33.8	0.2307	36.5	2.8137			
	1.191	33.8	0.2385	36.6	2.8748			
	1.201	33.9	0.2464	36.6	2.8076			
	1.211	33.9	0.2646	36.7	2.8656			
	1.221	33.9	0.4041	36.7	2.8656			
	1.231	34	0.2772	36.8	2.8656			
	1.241	34.1	0.343	36.8	2.8656			
	1.251	34.1	0.3455	36.9	2.8595			
	1.261	34.2	0.3312	36.9	2.7924			
	1.271	34.2	0.4152	37	2.8503			
	1.281	34.2	0.4081	37	2.8503			
	1.291	34.3	0.4349	37.1	2.8778			
	1.301	34.3	0.4363	37.1	2.8778			
	1.311	34.4	0.324	37.2	2.8687			
	1.321	34.4	0.3237	37.2	2.8687			
	1.331	34.5	0.3541	37.3	2.9419			
	1.341	34.5	0.4152	37.3	2.8687			
	1.351	34.5	0.4417	37.4	2.9297			
	1.361	34.6	0.4663	37.4	2.8595			
	1.371	34.6	0.4148	37.5	2.9236			
	1.381	34.7	0.4613	37.5	2.8534			
	1.391	34.7	0.5068	37.6	2.9236			
	1.401	34.7	0.52	37.6	2.9236			
	1.411	34.8	0.5697	37.7	2.9175			
	1.421	34.8	0.5565	37.7	2.9175			
	1.431	34.9	0.4056	37.8	2.9449			
	1.441	34.9	0.4667	37.8	2.9449			
	1.451	35	0.3884	37.9	3.0121			
	1.461	35	0.3719	37.9	2.9449			
	1.471	35.1	0.441	38	2.9388			
	1.481	35.1	0.5014	38	2.948			
	1.491	35.1	0.53	38.1	3.006			
	1.501	35.2	0.525	38.1	2.9388			
	1.511	35.2	0.4846	38.2	2.9968			
	1.521	35.3	0.5583	38.2	2.9297			
	1.531	35.3	0.5325	38.3	2.9907			
	1.541	35.4	0.4427	38.3	2.9327			
	1.551	35.4	0.4957	38.4	2.9907			
	1.561	35.4	0.5347	38.4	2.9999			
	1.571	35.5	0.5175	38.5	3.0273			
	1.581	35.5	0.5325	38.5	3.0273			
	1.591	35.6	0.5236	38.6	3.0212			
	1.601	35.6	0.4399	38.6	3.0212			
	1.611	35.7	0.4828	38.7	3.0212			
	1.621	35.7	0.4957	38.7	3.0212			
	1.631	35.8	0.5772	38.8	3.0151			
	1.641	35.8	0.6373	38.8	3.0243			
	1.651	35.9	0.5382	38.9	3.0243			
	1.661	35.9	0.6605	38.9	3.0243			
	1.671	36	0.6949	39	3.0151			
	1.681	36	0.6655	39	3.0151			
	1.691	36	0.6863	39.1	3.0792			
	1.701	36.1	0.5772	39.1	3.0548			
	1.711	36.2	0.6205	39.2	3.0426			
	1.721	36.2	0.6473	39.2	3.0426			
	1.731	36.2	0.5486	39.3	3.1158			
	1.741	36.3	0.653	39.3	3.0426			
	1.751	36.3	0.6176	39.4	3.1067			
	1.761	36.4	0.6659	39.4	3.0457			
	1.771	36.5	0.702	39.5	3.0365			
	1.781	36.5	0.702	39.5	3.0457			
	1.791	36.6	0.6509	39.6	3.0396			
	1.801	36.6	0.6638	39.6	3.0396			
	1.811	36.7	0.6716	39.7	3.1097			
	1.821	36.7	0.7457	39.7	3.0396			
	1.831	36.7	0.6734	39.8	3.1006			
	1.841	36.7	0.7746	39.8	3.1494			
	1.851	36.8	0.8154	39.9	3.1433			
	1.861	36.9	0.6924	39.9	3.0823			
	1.871	37	0.692	40	3.0731			
